Time to generate a test,Time to run a test
0.733,33.788
3.6510000000000002,39.157
1.434,32.948
0.33,32.786
0.429,30.029
1.003,34.439
6.077,34.345
5.737,35.055
1.3840000000000001,32.230000000000004
0.903,30.157
3.948,34.628
0.633,29.931
0.9890000000000001,2025.9490000000003
0.298,33.82
0.34900000000000003,29.853
0.262,29.701999999999998
0.633,346.055
0.9470000000000001,138.69799999999998
6.148,283.07
1.3619999999999999,1768.122
0.607,1444.434
0.285,32.86
0.6920000000000001,498.151
0.9309999999999999,459.13599999999997
1.413,49.442
0.47800000000000004,507.539
0.388,368.88100000000003
1.735,689.231
1.116,42.788
1.911,33.853
0.24000000000000002,29.345
2.42,31.556
0.36000000000000004,31.145
0.337,31.482999999999997
6.303,38.85
8.866999999999999,43.285
2.974,34.124
0.325,31.174
25.892,60.005
0.49,31.461000000000002
0.277,37.855
0.9700000000000001,29.766000000000002
0.644,31.425
0.33599999999999997,32.787
0.402,29.911
5.077,37.687
40.285000000000004,2026.128
8.850999999999999,71.47399999999999
3.099,89.108
0.8989999999999999,105.5
0.296,319.299
1.355,49.723000000000006
6.313,40.016999999999996
6.197,40.125
0.412,32.411
3.48,1996.5720000000001
6.144,201.436
21.385,579.437
14.663,64.93400000000001
0.377,33.370999999999995
3.164,33.730000000000004
0.378,34.972
39.189,69.82900000000001
0.285,29.079
0.53,31.593000000000004
0.372,32.048
0.304,47.824
0.653,35.852000000000004
2.9659999999999997,37.086
25.615,59.29
0.307,34.421
0.33399999999999996,33.654999999999994
5.162,37.498
0.34400000000000003,29.977
0.251,34.225
3.4610000000000003,38.466
9.095,41.404
0.6849999999999999,32.063
5.927,37.67100000000001
3.326,33.799
5.401000000000001,39.122
0.40299999999999997,31.836999999999996
5.293,39.175000000000004
4.984999999999999,38.193
3.042,35.609
0.479,33.437000000000005
5.388999999999999,38.854
20.767999999999997,55.141000000000005
0.9319999999999999,1405.703
3.3960000000000004,36.339000000000006
40.229,134.572
3.1319999999999997,113.11
0.268,104.809
3.249,35.611
3.2,32.791000000000004
21.139000000000003,207.314
0.281,81.52199999999999
0.43,31.524000000000004
5.082,59.873999999999995
0.40099999999999997,151.869
0.29100000000000004,355.045
1.704,76.77000000000001
5.409,39.763
3.125,36.274
5.6579999999999995,38.595
0.255,36.648
2.045,33.972
2.782,33.910999999999994
0.374,41.080999999999996
5.984,38.652
2.083,83.64
3.549,35.464000000000006
5.486000000000001,36.746
4.939,34.226
4.914,38.466
5.526,40.120999999999995
3.3409999999999997,41.831
0.4,37.475
0.40700000000000003,34.116
40.370000000000005,73.39800000000001
20.965,56.025999999999996
8.319,38.653
81.01899999999999,115.78399999999999
1.915,29.973
3.774,81.96499999999999
3.866,35.533
0.376,30.458
0.554,33.832
0.389,33.19
0.42700000000000005,30.058
39.454,71.379
1.997,35.241
0.24600000000000002,32.612
0.707,33.016
0.315,31.057000000000002
5.460999999999999,34.5
3.0309999999999997,35.522
5.125,38.9
0.345,39.072
26.429000000000002,63.422000000000004
2.675,38.397
0.714,36.967
3.9899999999999998,35.016
5.845999999999999,41.15
0.363,31.882
0.462,41.558
