Time to generate a test,Time to run a test
0.47800000000000004,44.348
3.005,50.348
32.696999999999996,70.84400000000001
0.47300000000000003,44.013999999999996
7.076,48.29
31.913999999999998,70.199
0.99,49.165
0.957,81.967
0.789,38.199999999999996
8.083,50.558
6.902,49.07
52.283,91.777
0.366,43.512
1.212,41.982
7.161,49.480000000000004
9.762,48.0
6.289999999999999,43.784
0.333,42.829
1.4909999999999999,41.236000000000004
1.2910000000000001,40.266000000000005
5.4479999999999995,45.685
6.687,50.050999999999995
26.904,67.084
3.609,42.604000000000006
5.706,45.86
2.558,40.512
2.524,40.211999999999996
5.55,44.257999999999996
0.435,55.049
6.744,57.76
0.479,37.638999999999996
3.76,44.731
0.386,38.967
0.636,54.812
0.5519999999999999,37.602999999999994
3.9690000000000003,43.948
0.323,40.192
9.661,58.739
7.016,46.543
4.396,44.274
0.38,40.377
0.541,45.766
27.588,68.414
0.53,37.893
50.902,89.12299999999999
2.539,49.452999999999996
0.439,40.732
5.2,43.577999999999996
0.496,37.142
1.8920000000000001,55.423
1.242,40.364999999999995
0.46900000000000003,38.809000000000005
0.35100000000000003,37.415
1.262,38.534
0.33399999999999996,37.521
1.874,41.304
0.45,39.817
0.45,37.147
1.38,37.775999999999996
1.779,38.690000000000005
1.9449999999999998,40.638
1.1139999999999999,37.943999999999996
0.34600000000000003,37.039
1.619,1960.877
0.6819999999999999,40.484
1.011,37.606
4.817,43.751
0.386,411.95500000000004
2.3440000000000003,72.924
7.97,306.575
0.457,2000.3139999999999
0.313,1409.3329999999999
0.858,147.735
0.395,202.89
1.108,59.92
0.877,790.415
0.51,407.97299999999996
0.425,246.31
1.224,535.158
4.926,90.875
1.0230000000000001,38.536
1.736,38.883
1.619,37.909
0.763,38.192
1.213,49.331
0.34299999999999997,38.391
0.357,38.739000000000004
1.2,38.009
0.40700000000000003,36.651999999999994
4.984,40.908
0.5559999999999999,37.239000000000004
0.8270000000000001,40.048
1.72,38.623
0.3,38.856
7.82,46.445
0.47800000000000004,38.737
0.479,37.699000000000005
0.856,37.489000000000004
4.926,42.941
4.6610000000000005,43.067
0.451,36.967
0.528,36.367
8.005,47.139
0.319,2084.4010000000003
51.391,90.878
0.358,44.03
0.36000000000000004,40.535000000000004
26.065,66.01700000000001
3.362,41.534
27.02,64.281
33.402,69.26400000000001
2.904,87.784
5.104,50.483
0.311,45.363
0.421,39.221
0.383,42.806999999999995
7.607,76.13000000000001
0.361,40.18300000000001
0.324,41.909
0.462,41.410000000000004
8.722000000000001,45.868
0.5860000000000001,40.239
0.332,38.119
1.037,45.563
0.451,57.800999999999995
3.571,50.045
3.639,47.806000000000004
4.8260000000000005,48.478
0.376,38.986
1.466,41.071000000000005
0.414,38.495000000000005
24.847,65.447
29.160999999999998,68.634
2.828,43.399
0.298,40.852
0.501,40.448
3.447,40.853
25.966,66.648
0.347,38.647
0.5599999999999999,42.26
2.4130000000000003,43.215999999999994
5.699,43.806
0.342,40.004999999999995
3.8960000000000004,43.369
0.356,40.129999999999995
29.107999999999997,88.44399999999999
0.374,39.466
1.053,42.0
7.816,48.123
1.426,38.228
0.48500000000000004,38.466
0.507,38.059999999999995
0.412,39.138
31.856,70.581
0.359,40.599999999999994
0.35300000000000004,40.120000000000005
0.388,39.688
1.824,74.809
6.222,46.434000000000005
0.332,40.134
4.711,46.309999999999995
0.482,39.646
1.3190000000000002,38.357
0.675,36.405
0.766,38.176
0.514,37.506
0.381,38.606
1.557,39.277
0.5339999999999999,42.399
1.64,41.128
7.531000000000001,46.219
0.34400000000000003,38.471
5.755,42.628
8.576,48.012
0.495,36.962
0.46099999999999997,44.958999999999996
50.201,87.457
3.305,40.222
